Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0103120639734149,3.57028601323102E-12,-5.09987831894361E-06,0,0,0,0.673746391598589,0.000240394302807336,4.72346918508225E-15,1.34348270128604E-09,0.00581273765980766,5.80749294518212E-10,0.00598610621622578,0,0,0,0,0,0,package://tiny_quad/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tiny_quad/meshes/base_link.STL,,Back_bone-1;Shoulder_blade-6;Shoulder_blade_bearing-8;Shoulder_blade-5;Shoulder_blade_bearing-9;Servo_with_circular_horn-5/main_body-1;Servo_with_circular_horn-4/main_body-1;Servo_with_circular_horn-1/main_body-1;Servo_with_circular_horn-3/main_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS_L,-0.046748,-0.00092972,6.6559E-07,0,0,0,0.057684,9.7817E-06,5.1255E-07,1.4506E-10,1.4627E-05,-7.3251E-10,1.8457E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LFS_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LFS_L.STL,,Tessera1000-Limb_assembly_mirror-6/Servo_with_circular_horn-1/main_body-1;Servo_with_circular_horn-5/Servo_circular_connector-1;Tessera1000-Limb_assembly_mirror-6/Bearing-12x4x4mm-1;Tessera1000-Limb_assembly_mirror-6/Tessera1000-Upper_limb_v2_mirror-1;Tessera1000-Limb_assembly_mirror-6/Bearing-12x4x4mm-2,Origin_LFS_J,Axis34,LFS_J,revolute,0.15711,0.050443,0,0,0,0,base_link,1,0,0,1.0787315,7.48,-1.5708,1.5708,,,,,,,,
LFU_L,0.00956780740114901,-0.00266058761660331,-0.0619406808382107,0,0,0,0.0633248586799827,4.22733905580439E-05,-3.31314885518861E-08,-4.35470998953999E-06,3.42993494529219E-05,4.30780434477683E-06,2.75949415936944E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LFU_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LFU_L.STL,,Tessera1000-Limb_assembly_mirror-6/Middle_limb_v2_mirror-1;Tessera1000-Limb_assembly_mirror-6/Servo_with_circular_horn-1/Servo_circular_connector-1;Tessera1000-Limb_assembly_mirror-6/Servo_with_circular_horn-2/main_body-1;Tessera1000-Limb_assembly_mirror-6/Bearing-12x4x4mm-3,Origin_LFU_J,Axis35,LFU_J,revolute,-0.037107,0.01375,0,0,0,0,LFS_L,0,-1,0,0,0,0,0,,,,,,,,
LFL_L,-0.0126991843001295,-0.0150723539446907,-0.0467923508835542,0,0,0,0.0247326277403109,4.21435291889056E-05,4.52141590599905E-07,2.40966499667341E-06,2.82129703259535E-05,1.66567501013991E-06,2.20436639521685E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LFL_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LFL_L.STL,,Tessera1000-Limb_assembly_mirror-6/Lower_limb_mirror-1;Tessera1000-Limb_assembly_mirror-6/Servo_with_circular_horn-2/Servo_circular_connector-1,Origin_LFL_J,Axis36,LFL_J,revolute,0,0.01675,-0.078388,0,0,0,LFU_L,0,-1,0,0,0,0,0,,,,,,,,
LFC_L,-0.0137408449020781,-0.0295642372944374,0.0344451912255238,0,0,0,0.0228920746333247,4.20984399971498E-05,4.52141590599904E-07,2.40966499667341E-06,2.81277626908271E-05,1.66567501013991E-06,2.19985747604127E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LFC_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LFC_L.STL,,Tessera1000-Limb_assembly_mirror-6/Lower_limb_mirror-1,Origin_LFC_J,,LFC_J,fixed,2.0629E-05,0.012,-0.085,0,0,0,LFL_L,0,0,0,,,,,,,,,,,,
RFS_L,-0.0467477283228513,0.000929715895879799,-6.65623765903593E-07,0,0,0,0.0576835055796688,9.78169162854162E-06,-5.12552767532585E-07,-1.45029050660471E-10,1.46267778399584E-05,-7.32538517650851E-10,1.84573794225176E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RFS_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/RFS_L.STL,,Tessera1000-Limb_assembly-2/Servo_with_circular_horn-2/main_body-1;Tessera1000-Limb_assembly-2/Tessera1000-Upper_limb_v2-1;Tessera1000-Limb_assembly-2/Bearing-12x4x4mm-1;Tessera1000-Limb_assembly-2/Bearing-12x4x4mm-2;Servo_with_circular_horn-4/Servo_circular_connector-1,Origin_RFS_J,Axis37,RFS_J,revolute,0.15711,-0.050443,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RFU_L,0.00956728165308311,0.00266058760025918,-0.0619395881245908,0,0,0,0.0633248589124594,4.22736181545519E-05,3.24961756510419E-08,-4.35489106692463E-06,3.42993499993469E-05,-4.30648406795787E-06,2.75947147528143E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RFU_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tiny_quad/meshes/RFU_L.STL,,Tessera1000-Limb_assembly-2/Servo_with_circular_horn-2/Servo_circular_connector-1;Tessera1000-Limb_assembly-2/Servo_with_circular_horn-3/main_body-1;Tessera1000-Limb_assembly-2/Middle_limb_v2-3;Tessera1000-Limb_assembly-2/Bearing-12x4x4mm-3,Origin_RFU_J,Axis38,RFU_J,revolute,-0.037107,-0.01375,0,0,0,0,RFS_L,0,1,0,0,0,0,0,,,,,,,,
RFL_L,-0.0127020493228516,0.0150724859124731,-0.0467927203950964,0,0,0,0.0247329300871079,4.21439137772161E-05,-4.52171756192475E-07,2.4097951023571E-06,2.82133292880761E-05,-1.66560968972201E-06,2.20437476815741E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RFL_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/RFL_L.STL,,Tessera1000-Limb_assembly-2/Lower_limb-2;Tessera1000-Limb_assembly-2/Servo_with_circular_horn-3/Servo_circular_connector-1,Origin_RFL_J,Axis39,RFL_J,revolute,0,-0.01675,-0.078391,0,0,0,RFU_L,0,-1,0,0,0,0,0,,,,,,,,
RFC_L,-0.01374266106702,0.0295643469613797,0.0344451304198886,0,0,0,0.0228923769801217,4.20988245854602E-05,-4.52171756192474E-07,2.4097951023571E-06,2.81281216529497E-05,-1.66560968972201E-06,2.19986584898183E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RFC_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/RFC_L.STL,,Tessera1000-Limb_assembly-2/Lower_limb-2,Origin_RFC_J,,RFC_J,fixed,1.9364E-05,-0.012,-0.085,0,0,0,RFL_L,0,0,0,,,,,,,,,,,,
LBS_L,-0.0467477273751706,-0.000929715818435276,6.65585065478178E-07,0,0,0,0.0576835087052566,9.78169184254293E-06,5.12552426949938E-07,1.45061250834949E-10,1.46267788369663E-05,-7.3251452299274E-10,1.84573804594289E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LBS_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LBS_L.STL,,Tessera1000-Limb_assembly_mirror-5/Servo_with_circular_horn-1/main_body-1;Tessera1000-Limb_assembly_mirror-5/Tessera1000-Upper_limb_v2_mirror-1;Tessera1000-Limb_assembly_mirror-5/Bearing-12x4x4mm-2;Servo_with_circular_horn-1/Servo_circular_connector-1;Tessera1000-Limb_assembly_mirror-5/Bearing-12x4x4mm-1,Origin_LBS_J,Axis40,LBS_J,revolute,-0.082893,0.050443,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
LBU_L,0.00956780741467889,-0.00266058763780398,-0.0619406808045094,0,0,0,0.0633248585974313,4.22733905380336E-05,-3.31314945442806E-08,-4.35470997716578E-06,3.42993494286409E-05,4.3078043364392E-06,2.75949415811241E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LBU_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tiny_quad/meshes/LBU_L.STL,,Tessera1000-Limb_assembly_mirror-5/Servo_with_circular_horn-1/Servo_circular_connector-1;Tessera1000-Limb_assembly_mirror-5/Middle_limb_v2_mirror-1;Tessera1000-Limb_assembly_mirror-5/Servo_with_circular_horn-2/main_body-1;Tessera1000-Limb_assembly_mirror-5/Bearing-12x4x4mm-3,Origin_LBU_J,Axis41,LBU_J,revolute,-0.037107,0.01375,0,0,0,0,LBS_L,0,1,0,0,0,0,0,,,,,,,,
LBL_L,-0.0126991843001295,-0.0150723539446907,-0.0467923508835543,0,0,0,0.024732627740311,4.21435291889057E-05,4.52141590599917E-07,2.40966499667343E-06,2.82129703259536E-05,1.66567501013991E-06,2.20436639521686E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LBL_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LBL_L.STL,,Tessera1000-Limb_assembly_mirror-5/Lower_limb_mirror-1;Tessera1000-Limb_assembly_mirror-5/Servo_with_circular_horn-2/Servo_circular_connector-1,Origin_LBL_J,Axis42,LBL_J,revolute,0,0.01675,-0.078388,0,0,0,LBU_L,0,1,0,0,0,0,0,,,,,,,,
LBC_L,-0.0137408449020781,-0.0295642372944374,0.0344451912255238,0,0,0,0.0228920746333248,4.20984399971499E-05,4.52141590599917E-07,2.40966499667343E-06,2.81277626908272E-05,1.66567501013991E-06,2.19985747604127E-05,0,0,0,0,0,0,package://tiny_quad/meshes/LBC_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/LBC_L.STL,,Tessera1000-Limb_assembly_mirror-5/Lower_limb_mirror-1,Origin_LBC_J,,LBC_J,fixed,2.0629E-05,0.012,-0.085,0,0,0,LBL_L,0,0,0,,,,,,,,,,,,
RBS_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://tiny_quad/meshes/RBS_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/RBS_L.STL,,Tessera1000-Limb_assembly-3/Servo_with_circular_horn-2/main_body-1;Tessera1000-Limb_assembly-3/Tessera1000-Upper_limb_v2-1;Tessera1000-Limb_assembly-3/Bearing-12x4x4mm-2;Servo_with_circular_horn-3/Servo_circular_connector-1;Tessera1000-Limb_assembly-3/Bearing-12x4x4mm-1,Origin_RBS_J,Axis43,RBS_J,revolute,-0.082893,-0.050443,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RBU_L,0.00956728165308314,0.00266058760025913,-0.0619395881245907,0,0,0,0.0633248589124593,4.22736181545518E-05,3.2496175651044E-08,-4.35489106692463E-06,3.42993499993469E-05,-4.30648406795788E-06,2.75947147528142E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RBU_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tiny_quad/meshes/RBU_L.STL,,Tessera1000-Limb_assembly-3/Servo_with_circular_horn-2/Servo_circular_connector-1;Tessera1000-Limb_assembly-3/Middle_limb_v2-3;Tessera1000-Limb_assembly-3/Servo_with_circular_horn-3/main_body-1;Tessera1000-Limb_assembly-3/Bearing-12x4x4mm-3,Origin_RBU_J,Axis44,RBU_J,revolute,-0.037107,-0.01375,0,0,0,0,RBS_L,0,-1,0,0,0,0,0,,,,,,,,
RBL_L,-0.0127020493228516,0.015072485912473,-0.0467927203950962,0,0,0,0.0247329300871078,4.21439137772162E-05,-4.52171756192474E-07,2.40979510235706E-06,2.82133292880762E-05,-1.66560968972197E-06,2.20437476815741E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RBL_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/RBL_L.STL,,Tessera1000-Limb_assembly-3/Lower_limb-2;Tessera1000-Limb_assembly-3/Servo_with_circular_horn-3/Servo_circular_connector-1,Origin_RBL_J,Axis45,RBL_J,revolute,0,-0.01675,-0.078391,0,0,0,RBU_L,0,-1,0,0,0,0,0,,,,,,,,
RBC_L,-0.01374266106702,0.0295643469613797,0.0344451304198887,0,0,0,0.0228923769801216,4.20988245854603E-05,-4.52171756192474E-07,2.40979510235706E-06,2.81281216529498E-05,-1.66560968972197E-06,2.19986584898183E-05,0,0,0,0,0,0,package://tiny_quad/meshes/RBC_L.STL,1,1,1,1,0,0,0,0,0,0,package://tiny_quad/meshes/RBC_L.STL,,Tessera1000-Limb_assembly-3/Lower_limb-2,Origin_RBC_J,,RBC_J,fixed,1.9364E-05,-0.012,-0.085,0,0,0,RBL_L,0,0,0,,,,,,,,,,,,
